run_id,as_of_date,n_eligible,n_over_threshold,n_qualified,n_picks,max_composite_z,ceiling_z,empty_day
1,2026-09-18,3095,71,24,3,3.569,3.569,0
2,2026-05-15,3009,69,12,3,3.561,3.561,0
3,2026-05-18,2717,62,18,3,3.562,3.562,0
4,2026-05-19,2714,62,5,3,3.562,3.562,0
5,2026-05-20,3024,69,21,3,3.563,3.563,0
6,2026-05-21,3031,69,27,3,3.564,3.564,0
7,2026-05-22,3034,69,29,3,3.564,3.564,0
8,2026-05-25,298,7,0,0,2.933,2.933,1
9,2026-05-26,296,7,2,2,2.931,2.931,0
10,2026-05-27,3041,69,19,3,3.565,3.565,0
11,2026-05-28,3052,70,38,3,3.566,3.566,0
12,2026-05-29,3059,70,39,3,3.566,3.566,0
13,2026-06-01,3071,70,38,3,3.568,3.568,0
14,2026-06-02,3075,70,28,3,3.568,3.568,0
15,2026-06-03,3082,70,11,3,3.568,3.568,0
16,2026-06-04,3084,70,20,3,3.568,3.568,0
17,2026-06-05,3083,70,27,3,3.568,3.568,0
18,2026-06-08,3089,70,13,3,3.569,3.569,0
19,2026-06-09,3092,71,23,3,3.569,3.569,0
20,2026-06-10,3094,71,16,3,3.569,3.569,0
21,2026-06-11,3092,70,30,3,3.569,3.569,0
22,2026-06-12,3094,71,15,3,3.569,3.569,0
23,2026-06-15,3098,71,18,3,3.57,3.57,0
24,2026-06-16,3097,71,16,3,3.57,3.57,0
25,2026-06-17,3099,71,17,3,3.57,3.57,0
26,2026-06-18,3103,71,27,3,3.571,3.571,0
27,2026-06-19,290,7,1,1,2.925,2.925,0
28,2026-06-22,292,7,2,2,2.927,2.927,0
29,2026-06-23,3116,71,15,3,3.572,3.572,0
30,2026-06-24,3116,71,27,3,3.572,3.572,0
31,2026-06-25,3110,71,19,3,3.572,3.572,0
32,2026-06-26,3120,71,24,3,3.573,3.573,0
33,2026-06-29,3129,72,23,3,3.574,3.574,0
34,2026-06-30,3127,72,17,3,3.574,3.574,0
35,2026-07-01,2841,65,24,3,3.574,3.574,0
36,2026-07-02,3134,72,16,3,3.574,3.574,0
37,2026-07-03,289,7,1,1,2.924,2.924,0
38,2026-07-06,288,7,0,0,2.923,2.923,1
39,2026-07-07,3127,72,14,3,3.573,3.573,0
40,2026-07-08,3134,72,13,3,3.574,3.574,0
41,2026-07-09,3125,72,14,3,3.573,3.573,0
42,2026-07-10,3122,71,10,3,3.573,3.573,0
43,2026-07-13,3122,71,10,3,3.573,3.573,0
44,2026-07-14,3115,70,22,3,3.573,3.573,0
45,2026-07-15,3113,70,26,3,3.572,3.572,0
46,2026-07-16,3117,70,24,3,3.573,3.573,0
47,2026-07-17,3106,70,16,3,3.572,3.572,0
48,2026-07-20,3094,70,11,3,3.571,3.571,0
49,2026-07-21,3087,71,19,3,3.57,3.57,0
50,2026-07-22,3076,69,21,3,3.569,3.569,0
51,2026-07-23,3070,69,43,3,3.569,3.569,0
52,2026-07-24,3058,69,39,3,3.568,3.568,0
53,2026-07-27,3050,69,18,3,3.567,3.567,0
54,2026-07-28,3044,69,26,3,3.566,3.566,0
55,2026-07-29,3045,69,42,3,3.566,3.566,0
56,2026-07-30,3038,69,52,3,3.566,3.566,0
57,2026-07-31,3033,69,39,3,3.565,3.565,0
58,2026-08-03,2751,63,26,3,3.565,3.565,0
59,2026-08-04,2747,62,49,3,3.565,3.565,0
60,2026-08-05,3033,69,51,3,3.565,3.565,0
61,2026-08-06,3041,69,62,3,3.566,3.566,0
62,2026-08-07,3048,69,52,3,3.566,3.566,0
63,2026-08-10,3052,70,22,3,3.566,3.566,0
64,2026-08-11,3052,70,31,3,3.566,3.566,0
65,2026-08-12,3055,70,23,3,3.567,3.567,0
66,2026-08-13,3053,70,32,3,3.567,3.567,0
67,2026-08-14,3048,69,13,3,3.566,3.566,0
68,2026-08-17,3060,70,15,3,3.567,3.567,0
69,2026-08-18,3063,70,18,3,3.567,3.567,0
70,2026-08-19,3070,70,48,3,3.568,3.568,0
71,2026-08-20,3083,70,17,3,3.569,3.569,0
72,2026-08-21,3095,71,18,3,3.57,3.57,0
73,2026-08-24,3099,71,7,3,3.57,3.57,0
74,2026-08-25,3099,71,15,3,3.57,3.57,0
75,2026-08-26,3093,71,19,3,3.569,3.569,0
76,2026-08-27,3088,70,24,3,3.568,3.568,0
77,2026-08-28,3086,70,14,3,3.568,3.568,0
78,2026-08-31,3091,70,13,3,3.569,3.569,0
79,2026-09-01,3091,70,8,3,3.569,3.569,0
80,2026-09-02,3088,70,18,3,3.569,3.569,0
81,2026-09-03,3090,70,18,3,3.569,3.569,0
82,2026-09-04,3083,70,18,3,3.568,3.568,0
83,2026-09-09,3070,70,30,3,3.567,3.567,0
84,2026-09-10,3069,70,18,3,3.567,3.567,0
85,2026-09-11,3066,70,15,3,3.567,3.567,0
86,2026-09-14,3072,70,22,3,3.567,3.567,0
87,2026-09-15,3075,70,23,3,3.568,3.568,0
88,2026-09-16,3085,70,19,3,3.568,3.568,0
89,2026-09-17,3079,70,14,3,3.568,3.568,0
90,2026-09-18,3096,71,11,3,3.569,3.569,0
91,2026-09-21,3094,71,21,3,3.57,3.57,0
92,2026-09-21,1076,25,2,2,3.22,3.22,0
93,2026-09-21,330,8,1,1,2.932,2.932,0
1790041226007403,2026-09-21,2660,61,3,3,3.525,3.525,0
