run_id,run_ts,as_of_date,provider,universe_size,n_eligible,config_json,code_version
1,1789975514.9920564,2026-09-18,yahoo,8701,3095,"{""composite_threshold"": 2.0, ""empty_day_target"": 0.2, ""max_gap_days"": 3, ""max_picks"": 3, ""min_dollar_vol_ca"": 2000000.0, ""min_dollar_vol_us"": 5000000.0, ""min_price"": 1.0, ""min_qualifiers"": 2, ""min_sessions"": 250, ""one_per_sector"": true, ""qual_gap_atr"": 0.75, ""qual_range_ratio"": 1.5, ""qual_ret_z"": 2.0, ""qual_rvol"": 2.0, ""require_confirmation"": true, ""weights"": {}}",sha256:6fcaa86844f1
2,1790033110.954342,2026-05-15,yahoo,8701,3009,"{""composite_threshold"": 2.0, ""empty_day_target"": 0.2, ""max_gap_days"": 3, ""max_picks"": 3, ""min_dollar_vol_ca"": 2000000.0, ""min_dollar_vol_us"": 5000000.0, ""min_price"": 1.0, ""min_qualifiers"": 2, ""min_sessions"": 250, ""one_per_sector"": true, ""qual_gap_atr"": 1.0, ""qual_range_ratio"": 2.0, ""qual_ret_z"": 2.5, ""qual_rvol"": 3.0, ""require_confirmation"": true, ""weights"": {}}",sha256:b1c3a9872ddc
3,1790033110.991165,2026-05-18,yahoo,8701,2717,"{""composite_threshold"": 2.0, ""empty_day_target"": 0.2, ""max_gap_days"": 3, ""max_picks"": 3, ""min_dollar_vol_ca"": 2000000.0, ""min_dollar_vol_us"": 5000000.0, ""min_price"": 1.0, ""min_qualifiers"": 2, ""min_sessions"": 250, ""one_per_sector"": true, ""qual_gap_atr"": 1.0, ""qual_range_ratio"": 2.0, ""qual_ret_z"": 2.5, ""qual_rvol"": 3.0, ""require_confirmation"": true, ""weights"": {}}",sha256:b1c3a9872ddc
4,1790033111.011604,2026-05-19,yahoo,8701,2714,"{""composite_threshold"": 2.0, ""empty_day_target"": 0.2, ""max_gap_days"": 3, ""max_picks"": 3, ""min_dollar_vol_ca"": 2000000.0, ""min_dollar_vol_us"": 5000000.0, ""min_price"": 1.0, ""min_qualifiers"": 2, ""min_sessions"": 250, ""one_per_sector"": true, ""qual_gap_atr"": 1.0, ""qual_range_ratio"": 2.0, ""qual_ret_z"": 2.5, ""qual_rvol"": 3.0, ""require_confirmation"": true, ""weights"": {}}",sha256:b1c3a9872ddc
5,1790033111.03245,2026-05-20,yahoo,8701,3024,"{""composite_threshold"": 2.0, ""empty_day_target"": 0.2, ""max_gap_days"": 3, ""max_picks"": 3, ""min_dollar_vol_ca"": 2000000.0, ""min_dollar_vol_us"": 5000000.0, ""min_price"": 1.0, ""min_qualifiers"": 2, ""min_sessions"": 250, ""one_per_sector"": true, ""qual_gap_atr"": 1.0, ""qual_range_ratio"": 2.0, ""qual_ret_z"": 2.5, ""qual_rvol"": 3.0, ""require_confirmation"": true, ""weights"": {}}",sha256:b1c3a9872ddc
6,1790033111.058569,2026-05-21,yahoo,8701,3031,"{""composite_threshold"": 2.0, ""empty_day_target"": 0.2, ""max_gap_days"": 3, ""max_picks"": 3, ""min_dollar_vol_ca"": 2000000.0, ""min_dollar_vol_us"": 5000000.0, ""min_price"": 1.0, ""min_qualifiers"": 2, ""min_sessions"": 250, ""one_per_sector"": true, ""qual_gap_atr"": 1.0, ""qual_range_ratio"": 2.0, ""qual_ret_z"": 2.5, ""qual_rvol"": 3.0, ""require_confirmation"": true, ""weights"": {}}",sha256:b1c3a9872ddc
7,1790033111.0832288,2026-05-22,yahoo,8701,3034,"{""composite_threshold"": 2.0, ""empty_day_target"": 0.2, ""max_gap_days"": 3, ""max_picks"": 3, ""min_dollar_vol_ca"": 2000000.0, ""min_dollar_vol_us"": 5000000.0, ""min_price"": 1.0, ""min_qualifiers"": 2, ""min_sessions"": 250, ""one_per_sector"": true, ""qual_gap_atr"": 1.0, ""qual_range_ratio"": 2.0, ""qual_ret_z"": 2.5, ""qual_rvol"": 3.0, ""require_confirmation"": true, ""weights"": {}}",sha256:b1c3a9872ddc
8,1790033111.1100092,2026-05-25,yahoo,8701,298,"{""composite_threshold"": 2.0, ""empty_day_target"": 0.2, ""max_gap_days"": 3, ""max_picks"": 3, ""min_dollar_vol_ca"": 2000000.0, ""min_dollar_vol_us"": 5000000.0, ""min_price"": 1.0, ""min_qualifiers"": 2, ""min_sessions"": 250, ""one_per_sector"": true, ""qual_gap_atr"": 1.0, ""qual_range_ratio"": 2.0, ""qual_ret_z"": 2.5, ""qual_rvol"": 3.0, ""require_confirmation"": true, ""weights"": {}}",sha256:b1c3a9872ddc
9,1790033111.1201348,2026-05-26,yahoo,8701,296,"{""composite_threshold"": 2.0, ""empty_day_target"": 0.2, ""max_gap_days"": 3, ""max_picks"": 3, ""min_dollar_vol_ca"": 2000000.0, ""min_dollar_vol_us"": 5000000.0, ""min_price"": 1.0, ""min_qualifiers"": 2, ""min_sessions"": 250, ""one_per_sector"": true, ""qual_gap_atr"": 1.0, ""qual_range_ratio"": 2.0, ""qual_ret_z"": 2.5, ""qual_rvol"": 3.0, ""require_confirmation"": true, ""weights"": {}}",sha256:b1c3a9872ddc
10,1790033111.135018,2026-05-27,yahoo,8701,3041,"{""composite_threshold"": 2.0, ""empty_day_target"": 0.2, ""max_gap_days"": 3, ""max_picks"": 3, ""min_dollar_vol_ca"": 2000000.0, ""min_dollar_vol_us"": 5000000.0, ""min_price"": 1.0, ""min_qualifiers"": 2, ""min_sessions"": 250, ""one_per_sector"": true, ""qual_gap_atr"": 1.0, ""qual_range_ratio"": 2.0, ""qual_ret_z"": 2.5, ""qual_rvol"": 3.0, ""require_confirmation"": true, ""weights"": {}}",sha256:b1c3a9872ddc
11,1790033111.161817,2026-05-28,yahoo,8701,3052,"{""composite_threshold"": 2.0, ""empty_day_target"": 0.2, ""max_gap_days"": 3, ""max_picks"": 3, ""min_dollar_vol_ca"": 2000000.0, ""min_dollar_vol_us"": 5000000.0, ""min_price"": 1.0, ""min_qualifiers"": 2, ""min_sessions"": 250, ""one_per_sector"": true, ""qual_gap_atr"": 1.0, ""qual_range_ratio"": 2.0, ""qual_ret_z"": 2.5, ""qual_rvol"": 3.0, ""require_confirmation"": true, ""weights"": {}}",sha256:b1c3a9872ddc
12,1790033111.191106,2026-05-29,yahoo,8701,3059,"{""composite_threshold"": 2.0, ""empty_day_target"": 0.2, ""max_gap_days"": 3, ""max_picks"": 3, ""min_dollar_vol_ca"": 2000000.0, ""min_dollar_vol_us"": 5000000.0, ""min_price"": 1.0, ""min_qualifiers"": 2, ""min_sessions"": 250, ""one_per_sector"": true, ""qual_gap_atr"": 1.0, ""qual_range_ratio"": 2.0, ""qual_ret_z"": 2.5, ""qual_rvol"": 3.0, ""require_confirmation"": true, ""weights"": {}}",sha256:b1c3a9872ddc
13,1790033111.218745,2026-06-01,yahoo,8701,3071,"{""composite_threshold"": 2.0, ""empty_day_target"": 0.2, ""max_gap_days"": 3, ""max_picks"": 3, ""min_dollar_vol_ca"": 2000000.0, ""min_dollar_vol_us"": 5000000.0, ""min_price"": 1.0, ""min_qualifiers"": 2, ""min_sessions"": 250, ""one_per_sector"": true, ""qual_gap_atr"": 1.0, ""qual_range_ratio"": 2.0, ""qual_ret_z"": 2.5, ""qual_rvol"": 3.0, ""require_confirmation"": true, ""weights"": {}}",sha256:b1c3a9872ddc
