ticker,name,exchange,sector
MAL.TO,MAGELLAN AEROSPACE CORPORATION,TSX,Aircraft Component
CGG.TO,CHINA GOLD INTERNATIONAL RESOURCES CORP LTD J,TSX,Mineral Expl & Dev
FRU.TO,FREEHOLD ROYALTIES LTD.,TSX,Investment Company
SAP.TO,SAPUTO INC.,TSX,Food Prod & Dstr
AFN.TO,AG GROWTH INTERNATIONAL INC.,TSX,Investment Company
MTL.TO,MULLEN GROUP LTD.,TSX,Transport Services
STN.TO,STANTEC INC.,TSX,Consulting Services
GRT-UN.TO,GRANITE REAL ESTATE INVESTMENT TR STAPLED UN,TSX,Investment Trust
SU.TO,SUNCOR ENERGY INC.,TSX,Oil/Gas Expl & Dev
WCP.TO,WHITECAP RESOURCES INC. J,TSX,Oil/Gas Expl & Dev
BIP-UN.TO,BROOKFIELD INFRASTRUCTURE PARTNERS L.P. UN,TSX,Limited Partnership
SBC.TO,BROMPTON SPLIT BANC CORP. CLASS 'A',TSX,Investment Company
BIR.TO,BIRCHCLIFF ENERGY LTD.,TSX,Oil/Gas Expl
PHX.TO,PHX ENERGY SERVICES CORP.,TSX,Drilling Services
RFA.TO,RFA Financial Inc,TSX,Investment Fund
EFX.TO,ENERFLEX LTD.,TSX,Gas Equip Mfg/Lse
AGF-B.TO,AGF MANAGEMENT LTD. CL 'B' NV,TSX,Mutual Funds
AGI.TO,ALAMOS GOLD INC. J,TSX,Mineral Expl & Dev
ADEN.TO,ADENTRA Inc.,TSX,Lumber Process/Mkt
WEF.TO,WESTERN FOREST PRODUCTS INC.,TSX,Forest Products
OGC.TO,OCEANAGOLD CORPORATION,TSX,Gold Mining
BTB-UN.TO,BTB REAL ESTATE INVESTMENT TRUST UN,TSX,Investment Trust
FSV.TO,FIRSTSERVICE CORPORATION SV,TSX,Property Services
MX.TO,METHANEX CORPORATION,TSX,Oil/Gas Expl & Dev
NEXT.TO,NextSource Materials Inc.,TSX,Metal Expl & Dev
GTE.TO,GRAN TIERRA ENERGY INC. J,TSX,Oil/Gas Expl & Dev
BTE.TO,BAYTEX ENERGY CORP.,TSX,Oil/Gas Expl & Dev
HWO.TO,HIGH ARCTIC ENERGY SERVICES INC.,TSX,Oil Field Service
CGX.TO,CINEPLEX INC.,TSX,Theatre & Film
BTO.TO,B2GOLD CORP. J,TSX,Mineral Expl & Dev
PIF.TO,Polaris Renewable Energy Inc.,TSX,Geothermal Res Dev
EIF.TO,EXCHANGE INCOME CORPORATION,TSX,Investment Company
GUD.TO,KNIGHT THERAPEUTICS INC.,TSX,Pharmaceutical
NA.TO,NATIONAL BANK OF CANADA,TSX,Banking
CRR-UN.TO,CROMBIE REAL ESTATE INVESTMENT TRUST UNITS,TSX,Investment Trust
WFG.TO,WEST FRASER TIMBER CO. LTD.,TSX,Forest Products
CS.TO,Capstone Copper Corp,TSX,Mineral Expl & Dev
GWO.TO,GREAT-WEST LIFECO INC.,TSX,Holding Company
K.TO,KINROSS GOLD CORPORATION,TSX,Natural Resources
BLDP.TO,BALLARD POWER SYSTEMS INC.,TSX,Energy Rsch & Dev
MATR.TO,Mattr Corp.,TSX,Oil/Gas Services
OR.TO,OR Royalties Inc,TSX,Royalty Mgt & Acquis
QTRH.TO,Quarterhill Inc.,TSX,Wireless Data Tech
DFN.TO,DIVIDEND 15 SPLIT CORP. CL 'A',TSX,Investment Company
MDI.TO,MAJOR DRILLING GROUP INTERNATIONAL INC.,TSX,Constr Drilling
BDGI.TO,Badger Infrastructure Solutions Ltd.,TSX,Oil/Gas Services
CHE-UN.TO,CHEMTRADE LOGISTICS INCOME FUND UNITS,TSX,Investment Fund
ELD.TO,ELDORADO GOLD,TSX,Mineral Expl & Dev
OBE.TO,Obsidian Energy Ltd.,TSX,Oil/Gas Expl & Dev
CSH-UN.TO,CHARTWELL RETIREMENT RESIDENCES UNITS,TSX,Investment Company
FCR-UN.TO,FIRST CAPITAL REIT,TSX,Investment Trust
TOT.TO,TOTAL ENERGY SERVICES INC.,TSX,Drilling Services
AIF.TO,ALTUS GROUP LIMITED,TSX,Real Est Consult Serv
T.TO,TELUS CORPORATION,TSX,Telecommunications
WJX.TO,WAJAX CORPORATION,TSX,Diversified Serv
BMO.TO,BANK OF MONTREAL,TSX,Banking
CSU.TO,CONSTELLATION SOFTWARE INC.,TSX,Software Dev/Mkt
KEL.TO,KELT EXPLORATION LTD. J,TSX,Oil/Gas Expl & Dev
TOU.TO,TOURMALINE OIL CORP.,TSX,Oil/Gas Expl & Dev
LMR.V,Lomiko Metals Inc.,TSX.V,Mining
FTS.TO,FORTIS INC.,TSX,Management Co
TA.TO,TRANSALTA CORPORATION,TSX,Public Utility
WM.TO,WALLBRIDGE MINING COMPANY LIMITED J,TSX,Mineral Expl & Dev
CHP-UN.TO,CHOICE PROPERTIES REAL EST INVESTMENT TR UN,TSX,Investment Trust
AIM.TO,AIMIA INC.,TSX,Loyalty Prod & Serv
WN.TO,WESTON LTD. GEORGE,TSX,Food Prod & Dstr
MEQ.TO,MAINSTREET EQUITY CORP. J,TSX,Real Estate
SEA.TO,SEABRIDGE GOLD INC. J,TSX,Gold Expl & Dev
BYD.TO,Boyd Group Services Inc.,TSX,Auto Repairs/Services
ELR.TO,EASTERN PLATINUM LIMITED J,TSX,Mineral Expl & Dev
MFC.TO,MANULIFE FINANCIAL CORPORATION,TSX,Investment Mgt
CAE.TO,CAE INC.,TSX,Aerospace Tech
HLF.TO,HIGH LINER FOODS INCORPORATED,TSX,Seafood Prod Mfg
EMA.TO,EMERA INCORPORATED,TSX,Holding Company
KEY.TO,KEYERA CORP.,TSX,Investment Company
CTC-A.TO,"CANADIAN TIRE CORPORATION, LIMITED CL 'A' NV",TSX,Retail Stores
GAU.TO,Galiano Gold Inc.,TSX,Mineral Expl & Dev
PXT.TO,PAREX RESOURCES INC. J,TSX,Oil/Gas Expl & Dev
WPK.TO,WINPAK LIMITED,TSX,Packaging Dsgn/Mfg
ALA.TO,ALTAGAS LTD.,TSX,Nat Gas Dstr
FTT.TO,FINNING INTERNATIONAL INC.,TSX,Heavy Equipment
WRG.TO,WESTERN ENERGY SERVICES CORP.,TSX,Oil Field Service
PNE.TO,PINE CLIFF ENERGY LTD. J,TSX,Oil/Gas Expl & Dev
SGY.TO,SURGE ENERGY INC. J,TSX,Oil/Gas Expl & Dev
CAR-UN.TO,CDN APARTMENT PROP REAL EST INV TR UNITS,TSX,Investment Trust
DII-B.TO,DOREL INDUSTRIES INC. CL 'B' SV,TSX,Furniture Mfg
CU.TO,CANADIAN UTILITIES LIMITED CL 'A' NV,TSX,Diversified Oper
PNP.TO,PINETREE CAPITAL LTD. J,TSX,Finance Serv & Inv
CAS.TO,CASCADES INC.,TSX,Paper & Packaging
WSP.TO,WSP GLOBAL INC.,TSX,Engineer Constr/Serv
WTE.TO,WESTSHORE TERMINALS INVESTMENT CORPORATION,TSX,Investment Company
BNE.TO,BONTERRA ENERGY CORP.,TSX,Res Expl & Dev
FFH.TO,FAIRFAX FINANCIAL HOLDINGS LTD. SV,TSX,Holding Company
EMP-A.TO,EMPIRE COMPANY LTD. CL 'A' NV,TSX,Holding Company
OTEX.TO,OPEN TEXT CORPORATION,TSX,Software Dev/Mkt
XTC.TO,EXCO TECHNOLOGIES LTD.,TSX,Tool & Metalwork
IAG.TO,iA Financial Corporation,TSX,Holding Company
TECK-B.TO,TECK RESOURCES LIMITED CL 'B' SV,TSX,Mineral Expl & Dev
ENB.TO,ENBRIDGE INC.,TSX,Oil Pipeline
RSI.TO,ROGERS SUGAR INC.,TSX,Sugar Refinery
DIR-UN.TO,DREAM INDUSTRIAL REAL ESTATE INVEST TR UNITS,TSX,Investment Trust
FVI.TO,Fortuna Mining Corp.,TSX,Silver Mining & Expl
TCL-A.TO,TRANSCONTINENTAL INC. CL 'A' SV,TSX,Printing & Publish
DXT.TO,Dexterra Group Inc.,TSX,Drilling Services
POU.TO,PARAMOUNT RESOURCES LTD. CLASS A,TSX,Oil/Gas Expl & Dev
DIV.TO,DIVERSIFIED ROYALTY CORP. J,TSX,Investment Company
NFI.TO,NFI GROUP INC,TSX,Heavy Vhcl Mfg & Serv
QBR-B.TO,QUEBECOR INC. CL 'B' SV,TSX,Holding Company
X.TO,TMX GROUP LIMITED,TSX,Holding Company
POW.TO,POWER CORPORATION OF CANADA SV,TSX,Holding Company
SIA.TO,SIENNA SENIOR LIVING INC.,TSX,Healthcare Facility
CJ.TO,CARDINAL ENERGY LTD. J,TSX,Crude Oil/Gas Expl
TRI.TO,THOMSON REUTERS CORPORATION,TSX,Holding Company
BNS.TO,BANK OF NOVA SCOTIA (THE),TSX,Banking
NG.TO,NOVAGOLD RESOURCES INC. J,TSX,Gold Expl & Dev
MFI.TO,MAPLE LEAF FOODS INC.,TSX,Food Prod & Dstr
TRP.TO,TC ENERGY CORPORATION,TSX,Gas Pipeline
SII.TO,SPROTT INC.,TSX,Asset Mgt/Advise Serv
CJR-B.TO,CORUS ENTERTAINMENT INC. CL 'B' NV,TSX,Broadcasting
L.TO,LOBLAW COMPANIES LIMITED,TSX,Retail Food Chain
ALS.TO,ALTIUS MINERALS CORPORATION,TSX,Oil/Gas Res Prop
MG.TO,MAGNA INTERNATIONAL INC.,TSX,Auto Components
BB.TO,BLACKBERRY LIMITED,TSX,Commun Systems
CJT.TO,CARGOJET INC.,TSX,Air Cargo Services
HOT-UN.TO,AMERICAN HOTEL INCOME PROPERTIES REIT LP UN,TSX,Limited Partnership
PAAS.TO,PAN AMERICAN SILVER CORP.,TSX,Mineral Expl & Dev
TCW.TO,TRICAN WELL SERVICE LTD.,TSX,Oil Services
SJ.TO,STELLA-JONES INC.,TSX,Forest Products
VET.TO,VERMILION ENERGY INC.,TSX,Oil/Gas Expl & Dev
BBD-A.TO,BOMBARDIER INC. CL 'A' MV,TSX,Diversified Oper
KEEK.V,Keek Social Inc.,TSX.V,Technology
PPL.TO,PEMBINA PIPELINE CORPORATION,TSX,Investment Company
YTY.V,Wi2Wi Corporation,TSX.V,Technology
BBD-B.TO,BOMBARDIER INC. CL 'B' SV,TSX,Diversified Oper
RUS.TO,RUSSEL METALS INC.,TSX,Metal Process/Dstr
DOL.TO,DOLLARAMA INC.,TSX,Consumer Prod
TD.TO,TORONTO-DOMINION BANK (THE),TSX,Banking
CCA.TO,COGECO COMMUNICATIONS INC. SV,TSX,Cable Television
LB.TO,LAURENTIAN BANK OF CANADA,TSX,Banking
MER.TO,Meren Energy Inc,TSX,Oil & Gas Expl
DOO.TO,BRP INC. SV,TSX,Sports Vhcl Mfg/Mkt
AP-UN.TO,ALLIED PROPERTIES REAL ESTATE INVEST TRUST UN,TSX,Investment Trust
DPM.TO,DPM Metals Inc,TSX,Investment Company
SLF.TO,SUN LIFE FINANCIAL INC.,TSX,Insurance
PBH.TO,PREMIUM BRANDS HOLDINGS CORPORATION,TSX,Food Prod & Dstr
Y.TO,YELLOW PAGES LIMITED,TSX,Holding Company
CCL-B.TO,CCL INDUSTRIES INC. CL 'B' NV,TSX,Diversified Oper
IFC.TO,INTACT FINANCIAL CORPORATION,TSX,Insurance
CCO.TO,CAMECO CORPORATION,TSX,Uranium Expl & Dev
DR.TO,MEDICAL FACILITIES CORPORATION,TSX,Medical Facility
QSR.TO,RESTAURANT BRANDS INTERNATIONAL INC,TSX,Holding Company
CVE.TO,CENOVUS ENERGY INC.,TSX,Oil/Gas Expl & Dev
CLS.TO,CELESTICA INC. SV,TSX,Circuits Mfg
LBS.TO,LIFE & BANC SPLIT CORP. CLASS 'A',TSX,Investment Company
AQN.TO,ALGONQUIN POWER & UTILITIES CORP.,TSX,Investment Company
IFP.TO,INTERFOR CORPORATION,TSX,Forest Products
BOS.TO,AIRBOSS OF AMERICA CORP. J,TSX,Tire Mfg/Dstr
HR-UN.TO,H&R REIT,TSX,Investment Trust
BCE.TO,BCE INC.,TSX,Telecommunications
IGM.TO,IGM FINANCIAL INC.,TSX,Financial Services
DRM.TO,DREAM UNLIMITED CORP. CL 'A' SV,TSX,Real Estate
RAY.TO,Stingray Group Inc,TSX,Music & Media Solutn
CM.TO,CANADIAN IMPERIAL BANK OF COMMERCE,TSX,Banking
HBM.TO,HUDBAY MINERALS INC.,TSX,Base Mtl Expl/Dev
NPI.TO,NORTHLAND POWER INC.,TSX,Elect Power Oper
BPF-UN.TO,BOSTON PIZZA ROYALTIES INCOME FUND UNITS,TSX,Investment Fund
DRT.TO,DIRTT ENVIRONMENTAL SOLUTIONS LTD. J,TSX,Recycled Products
III.TO,IMPERIAL METALS CORP.,TSX,Res Expl & Dev
RBA.TO,RB Global Inc.,TSX,Auction
WPM.TO,Wheaton Precious Metals Corp.,TSX,Silver Mining & Expl
VNP.TO,5N PLUS INC.,TSX,Metal Products Mfg
ARE.TO,AECON GROUP INC.,TSX,Diversified Serv
ROX.V,Canstar Resources Inc.,TSX.V,Mining
CMG.TO,COMPUTER MODELLING GROUP LTD. J,TSX,Software Dev/Mkt
DSG.TO,DESCARTES SYSTEMS GROUP INC. (THE),TSX,Software Dev/Mkt
IMG.TO,IAMGOLD CORPORATION,TSX,Mineral Expl & Dev
PD.TO,PRECISION DRILLING CORPORATION,TSX,Drilling Services
IMO.TO,IMPERIAL OIL LTD.,TSX,Integrated Oil
TVE.TO,TAMARACK VALLEY ENERGY LTD. J,TSX,Oil/Gas Expl & Dev
GEI.TO,GIBSON ENERGY INC.,TSX,Nat Gas Dstr
AAV.TO,Advantage Energy Ltd.,TSX,Oil/Gas Expl & Dev
EQB.TO,EQB Inc.,TSX,Mortgage Inv Co
LIF.TO,LABRADOR IRON ORE ROYALTY CORPORATION,TSX,Iron Ore Expl/Dev
BHC.TO,Bausch Health Companies Inc.,TSX,Pharm Production
RY.TO,ROYAL BANK OF CANADA,TSX,Banking
PSD.TO,PULSE SEISMIC INC.,TSX,Seismic Data
ATRL.TO,AtkinsRealis Group Inc.,TSX,Engineer/Construct
TFII.TO,TFI INTERNATIONAL INC.,TSX,Trans Supplies/Serv
ABX.TO,Barrick Mining Corporation,TSX,Gold Expl & Dev
ATS.TO,ATS Corporation,TSX,Automated Mfg Sys
AC.TO,AIR CANADA VOTING AND VARIABLE VOTING,TSX,Airline
PSI.TO,PASON SYSTEMS INC.,TSX,Oil Field Service
CNQ.TO,CANADIAN NATURAL RESOURCES LIMITED,TSX,Oil/Gas Expl & Dev
RCI-B.TO,ROGERS COMMUNICATIONS INC. CL 'B' NV,TSX,Broadcast/Telecom
PSK.TO,PRAIRIESKY ROYALTY LTD.,TSX,Oil/Gas Expl & Dev
CNR.TO,CANADIAN NATIONAL RAILWAY CO.,TSX,Railroad
ACO-X.TO,ATCO LTD. CL 'I' NV,TSX,Holding Company
SPB.TO,SUPERIOR PLUS CORP.,TSX,Investment Company
ESI.TO,ENSIGN ENERGY SERVICES INC.,TSX,Oil/Gas Wells Serv
