ticker,name,exchange,financial_status,cik,sic,sector
A,"Agilent Technologies, Inc. Common Stock",NYSE,,1090872.0,3826,Healthcare Equipment
AA,Alcoa Corporation Common Stock,NYSE,,1675149.0,3334,Mining & Metals
AAC,Ares Acquisition Corporation III Class A Ordinary Shares,NYSE,,2128115.0,,
AACG,"ATA Creativity Global - American Depositary Shares, each representing two common shares",NASDAQ,N,1420529.0,8200,Commercial & Professional Services
AACI,Armada Acquisition Corp. III - Class A Ordinary Share,NASDAQ,N,2092897.0,6770,Shell & SPAC
AACO,Abony Acquisition Corp. I - Class A Ordinary Share,NASDAQ,N,2099906.0,6770,Shell & SPAC
AACP,Apogee Acquisition Corp - Class A Ordinary Shares,NASDAQ,N,2102123.0,6770,Shell & SPAC
AADX,"Applied Aerospace & Defense, Inc. Common Stock",NYSE,,2118195.0,,
AAL,"American Airlines Group, Inc. - Common Stock",NASDAQ,N,6201.0,4512,Transportation & Logistics
AAME,Atlantic American Corporation - Common Stock,NASDAQ,E,8177.0,6311,Insurance
AAMI,Acadian Asset Management Inc. Common Stock,NYSE,,1748824.0,6282,Capital Markets
AAOI,"Applied Optoelectronics, Inc. - Common Stock",NASDAQ,N,1158114.0,3674,Semiconductors
AAON,"AAON, Inc. - Common Stock",NASDAQ,N,824142.0,3585,Industrials & Machinery
AAP,Advance Auto Parts Inc.,NYSE,,1158449.0,5531,Retail & Consumer Services
AAPG,Ascentage Pharma Group International - American Depository Shares,NASDAQ,N,2023311.0,2834,Pharma & Biotech
AAPL,Apple Inc. - Common Stock,NASDAQ,N,320193.0,3571,Tech Hardware
AARD,"Aardvark Therapeutics, Inc. - Common Stock",NASDAQ,N,1774857.0,2834,Pharma & Biotech
AAT,"American Assets Trust, Inc. Common Stock",NYSE,,1500217.0,6798,Real Estate & REITs
AAUC,Allied Gold Corporation Common Shares,NYSE,,1993344.0,,
AB,AllianceBernstein Holding L.P.  Units,NYSE,,825313.0,6282,Capital Markets
ABAT,American Battery Technology Company - Common Stock,NASDAQ,N,1576873.0,1400,Mining & Metals
ABBV,AbbVie Inc. Common Stock,NYSE,,1551152.0,2834,Pharma & Biotech
ABCB,Ameris Bancorp Common Stock,NYSE,,351569.0,6022,Banks & Consumer Finance
ABCL,AbCellera Biologics Inc. - Common Shares,NASDAQ,N,1703057.0,2834,Pharma & Biotech
ABEO,Abeona Therapeutics Inc. - Common Stock,NASDAQ,N,318306.0,2834,Pharma & Biotech
ABEV,Ambev S.A. American Depositary Shares (Each representing 1 Common Share),NYSE,,1565025.0,2080,Consumer Staples
